"X","iso3c","year","Y","L","pop_tot_wdde","pop_tot_wdde_g","Y_g","K_g","L_g","L_1_g","L_2_g","L_3_g","Y_o_L","log_Y_o_L","L_1_o_L","L_2_o_L","L_3_o_L","Y_o_L_t_L_1_o_L","Y_o_L_t_L_2_o_L","Y_o_L_t_L_3_o_L","log_Y_o_L_t_L_1_o_L","log_Y_o_L_t_L_2_o_L","log_Y_o_L_t_L_3_o_L","wa_weight_g","wa_weight_o_wa_sum","Y_o_L_t_wa_weight_o_wa_sum","log_Y_o_L_t_wa_weight_o_wa_sum"
34,"ARE",1985,236821.484375,923.2,1367,0.292440470141336,0.111790713222153,0.157099887962305,0.30779334516297,0.33495273049857,0.372176252151494,0.330765658588092,173.241758869788,5.16044375365728,0.233318890814558,0.346295493934142,0.205589254766031,40.420575022262,59.9928404578327,35.6166441003962,1.20268610277453,1.78504525096108,1.05974847867505,0.300788904959587,1.14214398855644,197.867033460073,5.88739599099188
35,"ARE",1990,264832.5625,1256.3,1831.7,0.26638135189291,-0.0886030716319919,0.142851269937886,0.316028574919089,0.342123299458271,0.3942990518133,0.311584628686578,144.582935251406,4.98074592595014,0.239990448141367,0.369577330255512,0.210618482846454,34.6985234245792,53.4345752107201,30.4518384681382,1.19367727988487,1.83822341973646,1.04758543369,0.324840814933328,1.17510758783477,169.90050428535,5.84481274101547
36,"ARE",1995,242377,1723.6,2391.1,0.256872854553707,0.361364311837523,0.158610914957038,0.276149399087213,0.294059906305697,0.345250911087148,0.225621867328677,101.366316757978,4.62855772058309,0.246518913901137,0.399860756556045,0.209851473659782,24.9887143133352,40.5324121081446,21.2718709511258,1.13860697894317,1.84685321225613,0.969249574685204,0.304468907981477,1.15798953646237,117.381134155469,5.34845358067732
37,"ARE",2000,347880.8125,2272.1,3091.7,0.377629526835229,0.367025124038925,0.199489778223993,0.478611061079352,0.460112351766993,0.552851653096091,0.439567104184418,112.520882524178,4.73198680699509,0.251089300646979,0.428590290920294,0.199595088244355,28.2527897011766,48.2253577756455,22.458615476746,1.18592962489384,2.0242914438591,0.942715310936644,0.614330575196961,1.1919839602454,134.123087161477,5.6299057236245
38,"ARE",2005,502143.5,3667.4,4510.7,0.606238561409469,0.209049722712935,0.320162240077124,0.669578064296248,0.616683033843979,0.707503036046914,0.732277924343647,111.322743698317,4.72137636749266,0.246605224409664,0.461744014833397,0.192070676773736,27.452770191623,51.4026106175303,21.381834722445,1.16211074132596,2.17593800238985,0.905120307596204,0.627349722163769,1.35212650191259,150.522432020118,6.37180633648631
39,"ARE",2010,618895.25,7164.9,8271.3,0.101365747869037,0.113362424959101,0.442361532827418,0.0966046176431892,-0.0181670058929004,0.145645743886407,0.174955754931683,74.8244230048481,4.3284204439822,0.233987913299558,0.479671733031864,0.20462253485743,17.5080106027478,35.8911606558447,15.3107631044966,1.00969162027566,2.06985276502438,0.882975773627284,0.287826808350502,1.24118228875995,92.8707486002998,5.3558807312884
40,"ARE",2015,693186.1875,7891.7,9153.8,0.0967311758518932,-0.0705667494266269,0.0975857913100349,0.0956130605712353,0.0539426076920275,0.0924531919811109,0.141034928395041,75.7266039786755,4.34024850584187,0.208611579254153,0.503795126525337,0.221321134863211,15.7974464475453,38.1506940327709,16.7598979318974,0.90268932662531,2.17998677324722,0.957685220120127,0.140190129694702,1.50081554433972,113.651664371255,6.49422327347561
41,"ARG",1970,97105.6875,16950.3,23973,0.0837385986852262,0.135030752026964,0.244215748083834,0.0857112217766449,0.0544912536558311,0.212488654233407,0.29806091242349,4.0506272681767,1.61951244709379,0.699108570349787,0.182746028093898,0.0378282390282178,2.83182823847488,0.740236044548129,0.153228096514805,0.977963229354897,0.255638256153934,0.0529168549347567,0.172045028196582,0.784805442570967,3.17895432589144,1.09784216298191
42,"ARG",1975,111144.59375,18467.3,26067,0.0753065893281288,0.119999669675455,0.22443113668851,0.0586214133997558,0.0212276876467943,0.165050818892135,0.280723102127478,4.26380457091342,1.66085406774749,0.67761935962485,0.20745858896536,0.0467962290101964,2.88923652290786,0.884562879905751,0.199529975155186,0.982657746504679,0.300848531893488,0.0678621061971059,0.138370005196414,0.861698247505496,3.67411292646202,1.24960192773945
43,"ARG",1980,125315.265625,19582.3,28105.9,0.0780853468193996,0.178124483257317,0.278399903333044,0.0704641315844832,0.0261353376476787,0.168288883697517,0.282255363291695,4.45868182926005,1.69720733739709,0.652747634343259,0.230764516936213,0.0584507437839273,2.91039401633877,1.02890555850146,0.260613269216132,0.975761869343861,0.344959069289406,0.0873752795389705,0.15883883594206,0.938619613544006,4.18500621549575,1.40309850320022
44,"ARG",1985,149748.6875,21012,30388.6,0.0742160860042933,0.31020178317481,0.634956585477605,0.0777169010684613,0.0259152989780365,0.17077801858815,0.266477396393708,4.92779158960926,1.77965173042726,0.624443175328384,0.254487911669522,0.0722539501237388,3.07712582757211,1.2540633907823,0.356052407735807,0.995918759296374,0.405880463202358,0.115237170017358,0.169539521049717,1.03344299445634,5.09259169642255,1.64822886294054
45,"ARG",1990,204212.6875,22710.2,32729.8,0.0669115236668816,0.731697368076519,0.93733552545422,0.0880015871931281,0.02893215900896,0.174824880406684,0.255345981581824,6.23935030156005,1.9795314650174,0.59291860045266,0.279315021444109,0.0872779632059603,3.69942684853487,1.74274426327755,0.544557786048655,1.08556047027979,0.511391185575205,0.159795133278989,0.127987672820844,1.15118229846112,7.18262962105398,2.10767210936066
46,"ARG",1995,424478.75,24799.4,34994.8,0.057269690843686,0.219083418940233,0.0769888753858883,0.0733542441032125,0.0099134735997346,0.138778115566746,0.246096847291982,12.1297664224399,2.57488189854793,0.558908683274595,0.304656564271716,0.103187980354363,6.77943177959429,3.69541296367897,1.25164609930175,1.3948474230955,0.760319952650927,0.257522369572846,0.181846596767308,1.22242327224395,14.8277087616737,3.05075587881628
47,"ARG",2000,528448.75,26687,37057.5,0.0548132735633207,0.0380235500263577,-0.0706269977162446,0.0695073274611175,0.00137051837031876,0.137236564407898,0.196508485933812,14.2602374687985,2.72525058725545,0.524551279649268,0.32525948963915,0.12265522539064,7.48022581236068,4.63827756123448,1.74909264085952,1.39398194736575,0.864368984228836,0.325953203391195,0.16556871649324,1.34556138265081,19.1880248454454,3.57579582637161
48,"ARG",2005,548929.1875,28608,39145.5,0.0517338497498177,0.35747181333687,0.446467814276188,0.0659313428741903,-0.00534993944923379,0.109521275887273,0.214914669691,14.0227915724668,2.70956848608847,0.489999300894855,0.348056487695749,0.139272231543624,6.871158067103,4.88072358240236,1.95298547476858,1.2939333018162,0.919107189582194,0.367773950051454,0.13596375261757,1.47440474623906,20.6752704499661,3.89343698660491
49,"ARG",2010,784810.125,30557.8,41224,0.0516956391485941,0.151407248139678,0.117284242966937,0.0607470398263548,-0.0447918142926191,0.154991207172674,0.139089408322581,19.0376995196973,2.997615475201,0.456286120074089,0.363566748915171,0.161654307574498,8.68663804897901,6.92147452120024,3.07752613366802,1.3444110967759,1.07122077607999,0.476301678669275,0.124481487526825,1.57606869507639,30.0047222392657,4.64376221349392
50,"ARG",2015,913103.5,32471.7,43411.2,0.0458525108529724,0.0680677137966335,0.0463262219855487,0.0595590873657326,-0.0574968543033609,0.142718452736917,0.130667624583454,21.0338230687012,3.09257868496375,0.410582137676808,0.399501719959226,0.174832238533862,8.63611203906308,8.40304849326416,3.67739037202621,1.25068729146495,1.21693487909281,0.532562035235907,0.0594703478966636,1.67593935392761,35.2514118443867,5.10513210117578
51,"ARM",1990,24350.4921875,2468.2,3531.2,-0.0940935485905499,-0.90026702233876,0.00378241749709929,-0.0824857510336479,-0.215642403688899,-0.0645308907824926,-0.0346828111539592,6.89581224158926,2.06633252292106,0.0789644275180293,0.70756016530265,0.173122113280933,0.544523865928915,4.87920204955493,1.19381758805246,0.152473542747265,1.36623804542752,0.334283965191926,-0.106688793368702,2.23033312135825,15.3799584410842,4.30658213082611
52,"ARM",1995,9896.9345703125,2272.7,3214,-0.0449127764985082,0.163953563825197,-0.127416869407543,0.00342466088136373,-0.226473980211295,0.0308937364304409,0.0274185730004266,3.07932002809972,1.40593031474731,0.0690368284419413,0.720376644519734,0.181590179082149,0.212586488497754,2.21827022924489,0.559174275353876,0.0776463286463475,0.810213953217337,0.204236072863911,-0.0401023035657015,2.29160373758254,7.0565812856061,2.57738689553464
53,"ARM",2000,11660.3466796875,2280.5,3072.8,-0.0258368026149167,0.431862934232917,-0.0734283312626243,0.0319623507029583,-0.270098625074055,0.049308608397574,0.0762726749329952,3.79469756563639,1.56751063348624,0.0547686910765183,0.740451655338741,0.18601183950888,0.207830618701156,2.80979009398536,0.705858674563892,0.0730397846443025,0.98746981865788,0.248066266181851,0.000298333876610712,2.28824411936735,8.68319438934508,3.05161314625319
54,"ARM",2005,17958.919921875,2354.6,2994.4,-0.0267277996260207,0.352564349853203,0.136258453888772,0.000381995293370352,-0.329834585202622,-0.00463042218714538,0.0959241080732189,5.99750197764995,1.94555322502979,0.0403890257368555,0.753418839717999,0.19447039836915,0.242233261732146,4.51863098120743,1.16633659881335,0.0723506003673229,1.34963159886047,0.348363195669791,0.0425420203850226,2.26392974675325,13.5779231334131,4.05547480729579
55,"ARM",2010,25550.779296875,2355.5,2915.4,0.000651276009789648,0.244833191706702,0.380561598485258,-0.00728298114717951,-0.444570053722535,-0.0234792896481641,0.103715925097232,8.76407329933285,2.2787096596034,0.0289110592230949,0.749649755890469,0.214009764381235,0.253378642192557,6.56998540945105,1.8755972618101,0.0627561025194564,1.62723532788335,0.464542603231395,0.0391592303200774,2.23762579624245,19.6107164947469,4.85712656826481
56,"ARM",2015,32639.052734375,2338.4,2917.3,-0.0100562200215757,0.289140195538208,0.204707476645948,-0.0155081939817991,-0.264624152434928,-0.0307137162036035,0.0451886737055531,11.188102949431,2.50046030787405,0.0185169346561752,0.737598357851523,0.239180636332535,0.207169371241174,8.25232636297407,2.67597758279882,0.0447156377468041,1.7811901151429,0.577585593343823,-0.0433267623722902,2.26406884228279,25.3306352920589,5.46738885594012
57,"AUS",1970,275292.34375,9157.6,12900.6,0.0734361797914858,0.0963127702615498,0.181256119044916,0.0957111134690685,-0.0882940930088054,0.15236213588676,0.350151860675045,21.339499228718,3.10635637748641,0.339084476281995,0.554239101948109,0.0882327247313707,7.2358929200899,11.827184888547,1.88284216135278,1.0377883098861,1.69628190352535,0.27004152852891,0.169573307880217,1.90974081755421,40.7529127032495,5.84487593505124
58,"AUS",1975,303125.4375,10077.5,13883.7,0.0569851465771638,0.172585512101014,0.169999045707529,0.086972514631416,-0.109444127591557,0.122418194597511,0.322704316244866,21.8331883791785,3.12821510822277,0.28208385016125,0.586554204911933,0.113837757380303,6.15878983929453,12.8063484504415,2.48544120154736,0.869786148786476,1.80859954461493,0.351010894532608,0.148223531356312,2.07209374729469,45.2404131240028,6.3891585404614
59,"AUS",1980,360226.40625,10993.3,14697.9,0.0713191360969052,0.143446161906571,0.170590645378512,0.0933792178992991,-0.108333531527447,0.110327283524855,0.300326486374274,24.5086989467883,3.23901952915918,0.231768440777565,0.60772470504762,0.144133244794557,5.68034294038387,14.8945418385378,3.53251830489353,0.741433757889123,1.94412841676732,0.461086302199975,0.144031283696599,2.21468508830249,54.279050091147,7.08483986021651
60,"AUS",1985,415789.5625,12069.4,15784.5,0.0797351727487197,0.199703073425919,0.233363230174906,0.099365980355417,-0.118800079427717,0.109785594540243,0.265209481993596,26.3416365738541,3.30841068955745,0.18942118083749,0.618116890649079,0.17729961721378,4.98966390501145,16.2822104936388,4.67036208132885,0.619625252353441,2.02195357804758,0.579973789480854,0.148121308464574,2.31560698409919,60.9968776230192,7.57469970111114
61,"AUS",1990,507695.96875,13330.4,17094.7,0.0583824687969212,0.170658782567621,0.295438356307667,0.0648647652272913,-0.14674342023513,0.0637794154942117,0.202766075007576,29.6990276957186,3.42423098294238,0.152283502370522,0.624594910880394,0.209303546780292,4.52267195450314,18.5498615568417,6.21611183264001,0.516410763723699,2.11807273883738,0.709772252150489,0.0774775351270236,2.44531678176727,72.6235308265114,8.29234872564409
62,"AUS",1995,602171.25,14223.8,18122.5,0.0527197050568127,0.215481489734119,0.111191145376846,0.0614414194531197,-0.158321756925626,0.0576809395596332,0.171389807449003,33.227824527521,3.53303889596563,0.123230079163093,0.623919065228701,0.240266314205768,4.09466744694378,20.7314732187942,7.98352692830349,0.431722732901434,2.18583032469978,0.841746029033917,0.0994991657047137,2.45718564967982,81.6469335991037,8.60847376817778
