"iso3c","year","Y","L","pop_tot_wdde","pop_tot_wdde_g","Y_g","K_g","L_g","L_1_g","L_2_g","L_3_g","Y_o_L","log_Y_o_L","L_1_o_L","L_2_o_L","L_3_o_L","Y_o_L_t_L_1_o_L","Y_o_L_t_L_2_o_L","Y_o_L_t_L_3_o_L","log_Y_o_L_t_L_1_o_L","log_Y_o_L_t_L_2_o_L","log_Y_o_L_t_L_3_o_L","PWLF_g","PWLF_o_LF","Y_o_L_t_PWLF_o_LF","log_Y_o_L_t_PWLF_o_LF"
"MLT",2015,14656.3896484375,366,427.7,0.0041899502638536,0.156231535578254,0.172541554535695,0.00217746411564956,-0.170544489602935,0.00658619285285678,0.107078940040439,34.267920618278,3.56297378640785,0.154098360655738,0.617486338797814,0.219672131147541,5.28063039035759,21.1599728407946,7.52770715221189,0.544615914450149,2.18232618201656,0.77636736740766,0.253769782444945,1.66504008155955,57.0574613411339,5.88460073654225
"NLD",2015,875122.75,14100,16938.2,0.0161912955700103,0.0821797683189267,0.0299582781285128,0.025417086794727,-0.190936934622102,0.00274100055467308,0.144321548814155,51.6656285791879,3.96396303364285,0.116666666666667,0.609730496453901,0.273602836879433,6.02765666757192,31.5021093631911,14.1358625484249,0.460225819203917,2.40526043334949,1.07930648348016,0.0354860466908065,2.14860808689263,111.009187379634,8.47581357375703
"POL",2015,1033507.8125,32567.3,38262.7,-0.00615526909106379,0.159186221397528,0.12543122787412,-0.0101377085089585,-0.662698109974055,-0.0393533070576186,0.111907165754319,27.0108437852007,3.3325917132453,0.0242021905408186,0.727168048932518,0.248629760526663,0.653721587957713,19.6414225753054,6.71569962193757,0.0797761899953891,2.396919251271,0.819542965783639,-0.00926486284829764,2.08605976114703,56.3462343349356,6.87615030409446
"PRT",2015,297096.65625,8950.6,10417.2,-0.0206568823755209,0.0902596467094519,0.0662483224098693,-0.0101275215806798,-0.110894039780325,0.0522288143662291,0.12586123363017,28.5198187852782,3.38506186100334,0.362523182803387,0.382465979934306,0.176814962125444,10.3390954790149,10.9078604392603,5.04273067834349,1.21466990135385,1.28149022229556,0.592436077996366,-0.0086333835747876,1.52481650153671,43.4874903046287,5.10904901358769
"ROU",2015,429855.6875,16810.9,19875.3,-0.0333737706167714,0.228203841632938,0.108476900764183,-0.0285198403679203,-0.29693149874605,-0.0303991128082597,0.0719903283332997,21.6276326646642,3.11917184368572,0.0828569559036102,0.695881838569024,0.211041645598986,1.79199980599556,15.050276782582,4.56433118796112,0.25469994481489,2.13912113893496,0.648736064480054,-0.0417699265875591,1.97269169938405,42.6646514349103,6.06399862860538
"SVK",2015,150161.828125,4608,5439.4,-0.00180296249741829,-0.00160214914864554,0.0941353394761872,-0.00517718847965476,-0.329374974750452,-0.0257468726119701,0.0909132411371107,27.6063220437916,3.35362774387997,0.0150173611111111,0.771592881944444,0.209331597222222,0.414574107081245,21.3008415856556,5.77887548685794,0.049828277035309,2.56017975432141,0.694571618905478,-0.00699574436464978,2.08487493910488,57.5557289899596,6.91770846296207
"SVN",2015,61784.9609375,1769.6,2074.8,0.00968414490974379,0.137164208740799,0.0796301581409953,0.00366435001449172,-0.0484676355422202,-0.0278703484999445,0.108669505400814,29.7787550306054,3.42682468024396,0.0257120253164557,0.762206148282098,0.209143309222423,0.765672103239457,22.6975501725138,6.22802737162469,0.0872613486367985,2.58677158332558,0.709789563307234,0.00738855297431762,1.93922439775498,57.7476882901186,6.5813304932141
"SWE",2015,489265.21875,8074.8,9763.6,0.0287592811556259,0.0728540707241141,0.0956144850430682,0.0213897486107992,-0.22330079638097,0.000963391211314502,0.108145654087875,50.1111494479495,3.93400266221522,0.0983306088076485,0.565215237529103,0.336454153663249,4.92745983326794,28.3235852380792,16.8601043766024,0.384889949051254,2.21239008497471,1.31696349317688,0.0591933406435849,2.17760803283177,109.122441572288,8.52368814729671
"USA",2015,18785358,258439.4,319907,0.0350838176262585,0.0920115665862902,0.0597578385081121,0.0405428041482256,-0.0583407025598266,0.0111824090389465,0.101733289623287,58.7213096306114,4.08968890194513,0.0421437288586802,0.615027352640503,0.332991022266729,2.47473495129909,36.1152116056982,19.5536689227384,0.171643092137146,2.50488505443191,1.35620673024519,0.045770734100369,2.1483999211462,126.156856980007,8.75000897166183
"AUT",2020,477705.5,7550.5,8787.6,NA,NA,NA,NA,NA,NA,NA,54.3613159451955,4.01388108171323,0.0716243957353818,0.659744387788888,0.265479107343885,3.8935964059548,35.8645731076613,14.4317936311694,0.286186217150573,2.63610950834664,1.06076233779276,NA,2.10165443018377,114.24870048684,8.39748140220496
